gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
AJAP1,0.933114331,1.607004838,1.53529446,1.42901421,1.374487865,1.080420469,0.910867484,0.96758213,0.86067,1.346233572,1.476241897
LINC02781,0,0,0,0,0,0,0,0,0,0,0
LOC105376686,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0.233931168,0,0,0,0
NPHP4,4.651927639,4.524626623,5.150727605,5.10463461,5.106345374,4.841999885,4.866196952,4.83478779,5.025676053,5.040229525,5.208230453
KCNAB2,3.034299293,3.922161576,4.029314579,3.922636735,3.630897431,3.624369796,3.440682207,3.640010655,3.917885084,3.887631699,3.931479138
CHD5,3.70820156,3.825526036,5.04100285,5.100894393,5.212412971,2.959918773,3.318720611,3.168635632,4.782206528,4.753739613,4.776599586
RPL22,8.078661986,8.073926384,8.0276327,7.949205449,8.004932012,7.937278787,8.100970326,8.065813764,8.039701574,7.993095335,8.034401523
RNF207-AS1,0.114596401,0.494914811,0.098033997,0,0.110547565,0,0.338056623,0.120178238,0.315872737,0.217064144,0
RNF207,4.004171121,4.145424072,4.199086373,4.247570134,4.386085412,4.536062744,4.310031764,4.348502708,4.262595203,4.858383807,4.124752111
ICMT,8.118260747,8.09524063,7.927436629,7.952841111,7.963184935,7.903536668,7.973898144,7.98154869,7.893415545,7.84151704,7.829242421
HES3,0,0,0,0,0,0,0,0,0,0,0
GPR153,2.555240724,2.852080879,3.183661311,2.890284064,3.098554836,3.043561479,3.128548479,2.788080306,3.017595645,3.054233836,3.355466528
ACOT7,6.225471696,6.279677708,6.525549629,6.643482726,6.694513219,6.380218521,6.143840624,6.268609538,6.543436944,6.623249969,6.526973224
HES2,0,0,0,0.236549226,0.110547565,0.722652987,0,0.33411903,0.113151241,0.217064144,0.720789586
ESPN,0.319636852,0,0.098033997,0.236549226,0,0.128145153,0.338056623,0,0.315872737,0,0
MIR4252,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,2.288532715,2.202038494,2.364158132,2.924543729,2.912709272,1.990013129,2.148180915,2.18955082,2.728917875,2.31555515,2.336432975
PLEKHG5,3.426977251,3.800320763,4.3459873,3.964402389,4.053896248,3.798194584,3.782675649,3.599228375,3.672277391,4.127643788,3.625441895
NOL9,5.761307785,5.824164618,5.668248762,5.973276411,5.781215831,6.137239258,6.210517114,6.146548955,5.727148456,5.936348352,5.758699463
RNU6-731P,0,0,0,0,0,0,0,0,0,0,0
TAS1R1,0,0,0,0.236549226,0,0,0,0,0,0,0
ZBTB48,3.77070587,4.104823616,4.084171429,4.395355086,3.938739985,4.1089715,3.96448334,3.994714629,4.16754529,4.100590502,4.013369211
KLHL21,5.428950027,5.392509817,5.65220131,5.752664428,5.645498873,5.492775031,5.246688514,5.450868539,5.529815669,5.60930358,5.559980261
PHF13,5.956398182,6.044108201,6.090637383,6.122776407,5.941228108,5.956988272,5.947949505,5.833664046,5.904643988,6.00725509,5.88668474
THAP3,4.172364064,4.012728571,4.10200311,4.075296376,4.217229323,4.029140912,3.84585839,3.954861188,4.16754529,4.186720286,4.177376462
DNAJC11,6.373788657,6.422805155,6.636766736,6.691525373,6.691181504,6.724886466,6.531978262,6.553820805,6.713466164,6.697350472,6.729982221
CAMTA1,4.988867762,5.10407591,5.00354614,5.055238705,5.187406626,4.883450797,4.930069563,4.948740121,5.089294653,4.749391757,4.975443912
RPL37P9,0,0,0,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0
VAMP3,7.576657147,7.533879351,7.285792375,7.410863264,7.19943994,7.36015848,7.529670155,7.472527933,7.20009209,7.19375757,7.213726965
PER3,5.965970289,6.051248345,5.814210502,5.808768824,5.555531582,5.877158814,5.78708823,5.910681785,5.46467243,5.865798155,5.687915496
UTS2,0,0,0,0,0,0,0,0,0,0,0
TNFRSF9,5.201517371,5.372696848,5.870778641,5.826995696,5.73881529,4.93692874,4.904858834,4.878048752,5.310077575,5.153153241,5.267080629
PARK7,7.500323102,7.5591437,7.706309155,7.766497756,7.798003291,7.369102854,7.433045366,7.480970895,7.787652072,7.751445001,7.673084696
ERRFI1,5.986808006,5.993112547,6.083175577,6.131968797,6.078466967,6.607482885,6.659296335,6.772490186,6.671357527,6.558866759,6.774431587
ERRFI1-DT,0.114596401,0,0,0.341708952,0,0,0.233931168,0,0.315872737,0.857446746,0.1123805
LOC100129776,0,0,0,0,0,0,0,0,0,0,0
LINC01714,0.114596401,0.113497158,0,0.236549226,0.309075793,0.245830752,0.233931168,0,0,0,0.1123805
RNU1-7P,0,0,0,0,0,0,0,0,0,0,0
RNU6-991P,0,0,0,0,0,0,0,0,0,0,0
SLC45A1,1.495074301,1.682520582,1.791183606,1.475973202,1.618514067,1.366862542,1.638037531,1.497868699,1.715659706,1.746013404,1.743861204
RERE,7.245184526,7.321457881,7.341895208,7.248773907,7.293254822,7.13841377,7.229797113,7.272253019,7.238792535,7.381763279,7.254864367
RPL7P11,0,0,0,0.12311737,0,0,0.121701854,0.120178238,0,0,0
RPL7P7,0,0,0.189828151,0.12311737,0,0.354636167,0.233931168,0,0,0,0
RPL27P3,0,0,0,0,0,0,0,0,0,0,0
ENO1,11.50683646,11.54141539,11.74960071,11.77999616,11.74039173,11.58546709,11.57597464,11.58773282,11.85313552,11.80366026,11.86360927
MIR6728,0,0.113497158,0.189828151,0.341708952,0,0.128145153,0,0.120178238,0,0,0.1123805
ENO1-AS1,0,0.113497158,0.098033997,0,0,0,0.233931168,0,0.113151241,0.11261059,0.1123805
